name,melt_K,boil_K,plasma_K
H2O,273.15,373.15,10000
CO2,216.58,194.65,10000
NH3,195.40,239.82,10000
CH4,90.69,111.66,10000
O2,54.36,90.20,10000
N2,63.15,77.36,10000
Cl2,171.6,239.11,10000
F2,53.48,85.03,10000
Br2,265.8,332.0,10000
I2,386.85,457.40,9000
H2,13.99,20.271,10000
He,0.95,4.222,15000
Ne,24.56,27.07,15000
Ar,83.80,87.30,15000
Na,370.87,1156.09,8000
K,336.53,1032.0,8000
Li,453.65,1603.0,8000
Mg,923.0,1363.0,8000
Al,933.47,2792.0,8000
Fe,1811.0,3134.0,9000
Cu,1357.77,2835.0,9000
Ag,1234.93,2435.0,9000
Au,1337.33,3129.0,9000
C6H6,278.68,353.23,10000
CH3OH,175.15,337.85,10000
C2H5OH,159.0,351.44,10000
C6H12O6,419.15,623.0,10000
H3N,195.40,239.82,10000
O3S,289.95,318.0,10000
F4C,89.56,145.1,10000
H2S,187.7,213.60,10000
SO2,197.67,263.13,10000
